TOTAL NACIONAL,
    3 personas,44.941,45.358,45.761,46.175,46.577,46.975,47.389,47.804,48.219,48.629,49.038,49.444,49.849,50.259,50.660,51.070,
    4 personas,31.986,32.437,32.882,33.348,33.802,34.266,34.709,35.140,35.564,35.959,36.342,36.689,37.016,37.344,37.651,37.939,
    5 personas o más,8.720,8.843,8.967,9.096,9.223,9.351,9.477,9.603,9.730,9.853,9.974,10.093,10.210,10.326,10.444,10.556,
CASTILLA Y LEÓN,
    Total,993.029,995.624,997.972,1.000.051,1.001.870,1.003.405,1.004.979,1.006.417,1.007.630,1.008.783,1.009.875,1.011.109,1.012.463,1.013.443,1.014.934,1.016.567,
    1 persona,337.408,335.404,333.330,331.022,328.498,325.705,323.043,320.288,317.222,314.135,310.993,308.010,305.092,301.684,298.887,295.976,
    2 personas,335.442,335.609,335.535,335.402,335.111,334.725,334.208,333.659,333.068,332.339,331.672,331.043,330.456,329.837,329.224,328.870,
    3 personas,176.411,178.107,179.778,181.444,183.139,184.828,186.534,188.233,189.992,191.786,193.560,195.314,197.076,198.902,200.652,202.438,
    4 personas,117.185,119.303,121.487,123.694,125.972,128.321,130.677,133.023,135.426,137.877,140.282,142.641,144.992,147.408,149.774,152.098,
    5 personas o más,26.584,27.202,27.842,28.490,29.150,29.827,30.517,31.214,31.922,32.647,33.368,34.100,34.847,35.613,36.396,37.184,
Ávila,
    Total,61.896,62.202,62.485,62.786,63.047,63.302,63.550,63.827,64.086,64.350,64.610,64.894,65.190,65.466,65.812,66.192,
    1 persona,20.927,20.833,20.737,20.644,20.520,20.385,20.261,20.152,20.028,19.902,19.779,19.669,19.561,19.409,19.332,19.248,
    2 personas,19.708,19.825,19.920,20.025,20.110,20.197,20.263,20.333,20.406,20.470,20.533,20.600,20.669,20.742,20.826,20.941,
    3 personas,11.754,11.802,11.845,11.891,11.937,11.983,12.031,12.083,12.133,12.189,12.245,12.304,12.366,12.436,12.499,12.572,
    4 personas,7.498,7.669,7.846,8.028,8.221,8.419,8.621,8.829,9.038,9.257,9.474,9.696,9.925,10.166,10.401,10.638,
    5 personas o más,2.008,2.072,2.136,2.198,2.259,2.317,2.373,2.429,2.481,2.532,2.579,2.625,2.669,2.712,2.754,2.792,
Burgos,
    Total,149.313,149.549,149.733,149.905,150.001,150.042,150.087,150.095,150.046,149.978,149.910,149.851,149.800,149.674,149.597,149.532,
    1 persona,51.878,51.596,51.309,51.002,50.649,50.256,49.864,49.443,48.973,48.490,48.007,47.525,47.046,46.482,45.975,45.422,
